Album,Artist,Genre,Score,Best New Music,Reviewer,Reviewer Detail,Date,URL
Verisimilitude,Tyshawn Sorey,Jazz,7.6,,Seth Colter Walls,Contributor,"Tue, 15 Aug 2017 05:00:00 GMT",/reviews/albums/tyshawn-sorey-verisimilitude/
Safely Nobody’s,Tall Friend,Rock,6.8,,Evan Rytlewski,Contributor,"Tue, 15 Aug 2017 05:00:00 GMT",/reviews/albums/tall-friend-safely-nobodys/
Good Time (Original Motion Picture Soundtrack),Oneohtrix Point Never,Experimental,7.7,,Sasha Geffen,Contributor,"Mon, 14 Aug 2017 05:00:00 GMT",/reviews/albums/oneohtrix-point-never-good-time-original-motion-picture-soundtrack/
Bushwick (Original Motion Picture Soundtrack),Aesop Rock,Rap,7.3,,Jay Balfour,Contributor,"Mon, 14 Aug 2017 05:00:00 GMT",/reviews/albums/aesop-rock-bushwick-original-motion-picture-soundtrack/
Elastic,Amy O,Rock,6.7,,Vrinda Jagota,Contributor,"Mon, 14 Aug 2017 05:00:00 GMT",/reviews/albums/amy-o-elastic/
Last Chance,House of Feelings,Electronic,6.9,,Calum Marsh,Contributor,"Mon, 14 Aug 2017 05:00:00 GMT",/reviews/albums/house-of-feelings-last-chance/
Tidal,Fiona Apple,Rock,9.0,,Jenn Pelly,Associate Reviews Editor,"Sun, 13 Aug 2017 05:30:00 GMT",/reviews/albums/fiona-apple-tidal/
12,A$AP Twelvyy,Rap,6.4,,Jonah Bromwich,Contributor,"Sat, 12 Aug 2017 05:00:00 GMT",/reviews/albums/adollarap-twelvyy-12/
Boy in a Well,The Yawpers,Rock,7.1,,Stephen M. Deusner,Contributor,"Sat, 12 Aug 2017 05:00:00 GMT",/reviews/albums/the-yawpers-boy-in-a-well/
The Fickle Finger of Fate,"Dale Crover, Melvins","Rock, Metal",7.0,,Brian Burlage,Contributor,"Sat, 12 Aug 2017 05:00:00 GMT",/reviews/albums/dale-crover-melvins-the-fickle-finger-of-fatea-walk-with-love-and-death/
A Walk With Love & Death,"Dale Crover, Melvins","Rock, Metal",6.6,,Brian Burlage,Contributor,"Sat, 12 Aug 2017 05:00:00 GMT",/reviews/albums/dale-crover-melvins-the-fickle-finger-of-fatea-walk-with-love-and-death/
Popular Manipulations,The Districts,Rock,6.7,,Philip Cosores,Contributor,"Sat, 12 Aug 2017 05:00:00 GMT",/reviews/albums/the-districts-popular-manipulations/
Rainbow,Kesha,Pop/R&B,6.8,,Katherine St. Asaph,Contributor,"Fri, 11 Aug 2017 05:00:00 GMT",/reviews/albums/kesha-rainbow/
How Do You Spell Heaven,Guided by Voices,Rock,7.4,,Stuart Berman,Contributor,"Fri, 11 Aug 2017 05:00:00 GMT",/reviews/albums/guided-by-voices-how-do-you-spell-heaven/
Bright Phoebus,Lal & Mike Waterson,Folk/Country,8.5,Best new reissue,Grayson Haver Currin,Contributor,"Fri, 11 Aug 2017 05:00:00 GMT",/reviews/albums/lal-and-mike-waterson-bright-phoebus/
Onism,Photay ,Electronic,7.9,,Philip Sherburne,Contributing Editor,"Fri, 11 Aug 2017 05:00:00 GMT",/reviews/albums/photay-onism/
Cage Tropical,Frankie Rose,Rock,7.7,,Philip Sherburne,Contributing Editor,"Thu, 10 Aug 2017 05:00:00 GMT",/reviews/albums/frankie-rose-cage-tropical/
